Price,Date,County,Ozone,PM2.5,Conductance,PH,oil_count,Gas_Well_Number,positive_tests,fire
653850,2014-01,Orange,0.03102459,21.22352941,2340.842813,8.055819032,2,1.712460064,0,1
677700,2014-02,Orange,0.03742268,12.40895522,2340.842813,8.055819032,2,1.712460064,0,0
675540,2014-03,Orange,0.04471875,10.76666667,2340.842813,8.055819032,1,1.712460064,0,2
679820,2014-04,Orange,0.050541667,12.11086957,2340.842813,8.055819032,0,1.712460064,0,0
698260,2014-05,Orange,0.050818182,15.87297297,2340.842813,8.055819032,0,1.712460064,0,0
696680,2014-06,Orange,0.044734513,17.24571429,2340.842813,8.055819032,2,1.712460064,0,0
695270,2014-07,Orange,0.040813559,16.36129032,2340.842813,8.055819032,0,1.712460064,0,3
699430,2014-08,Orange,0.043830508,13.98888889,2340.842813,8.055819032,1,1.712460064,0,0
696190,2014-09,Orange,0.04712931,13.98529412,2340.842813,8.055819032,1,1.712460064,0,1
692390,2014-10,Orange,0.051313043,16.771875,2340.842813,8.055819032,0,1.712460064,0,0
689480,2014-11,Orange,0.036965217,12.00277778,2340.842813,8.055819032,1,1.712460064,0,0
683490,2014-12,Orange,0.026596639,14.78730159,2340.842813,8.055819032,1,1.712460064,0,0
674340,2015-01,Orange,0.025741071,17.65142857,2340.842813,8.055819032,2,1.712460064,0,1
680290,2015-02,Orange,0.038294118,16.91911765,2340.842813,8.055819032,1,1.712460064,0,0
696060,2015-03,Orange,0.046965812,10.85333333,2340.842813,8.055819032,1,1.712460064,0,0
705190,2015-04,Orange,0.053833333,10.16756757,2340.842813,8.055819032,1,1.712460064,0,2
717850,2015-05,Orange,0.048714286,9.530666667,2340.842813,8.055819032,0,1.712460064,0,0
716730,2015-06,Orange,0.04763964,11.42297297,2340.842813,8.055819032,1,1.712460064,0,0
720000,2015-07,Orange,0.038393443,8.459459459,2340.842813,8.055819032,1,1.712460064,0,1
714380,2015-08,Orange,0.049134454,11.79861111,2340.842813,8.055819032,1,1.712460064,0,0
705000,2015-09,Orange,0.050855856,11.20684932,2340.842813,8.055819032,0,1.712460064,0,1
