,area,date,positive_tests
480,Los Angeles,2020-07,106672
481,Los Angeles,2020-08,62759
482,Los Angeles,2020-09,37881
483,Los Angeles,2020-10,50219
484,Los Angeles,2020-11,133349
485,Los Angeles,2020-12,490279
486,Los Angeles,2021-01,389415
487,Los Angeles,2021-02,78396
488,Los Angeles,2021-03,25068
489,Los Angeles,2021-04,16931
490,Los Angeles,2021-05,8669
491,Los Angeles,2021-06,9266
492,Los Angeles,2021-07,68288
493,Los Angeles,2021-08,116215
494,Los Angeles,2021-09,59345
495,Los Angeles,2021-10,39838
496,Los Angeles,2021-11,42168
497,Los Angeles,2021-12,298574
498,Los Angeles,2022-01,908207
500,Madera,2020-02,0
501,Madera,2020-03,25
502,Madera,2020-04,31
503,Madera,2020-05,60
504,Madera,2020-06,610
505,Madera,2020-07,2121
506,Madera,2020-08,1342
507,Madera,2020-09,961
508,Madera,2020-10,588
509,Madera,2020-11,1881
510,Madera,2020-12,5097
511,Madera,2021-01,3771
512,Madera,2021-02,1001
513,Madera,2021-03,583
514,Madera,2021-04,402
515,Madera,2021-05,165
516,Madera,2021-06,204
517,Madera,2021-07,603
518,Madera,2021-08,2201
519,Madera,2021-09,2299
520,Madera,2021-10,2205
521,Madera,2021-11,1640
522,Madera,2021-12,1420
523,Madera,2022-01,8584
525,Marin,2020-02,0
526,Marin,2020-03,136
527,Marin,2020-04,131
528,Marin,2020-05,284
529,Marin,2020-06,2595
530,Marin,2020-07,2725
531,Marin,2020-08,948
532,Marin,2020-09,584
533,Marin,2020-10,469
534,Marin,2020-11,740
535,Marin,2020-12,2394
536,Marin,2021-01,2579
537,Marin,2021-02,892
538,Marin,2021-03,544
539,Marin,2021-04,331
540,Marin,2021-05,178
541,Marin,2021-06,154
542,Marin,2021-07,938
543,Marin,2021-08,1667
544,Marin,2021-09,813
545,Marin,2021-10,583
546,Marin,2021-11,750
547,Marin,2021-12,4386
548,Marin,2022-01,10476
550,Mariposa,2020-02,0
551,Mariposa,2020-03,0
552,Mariposa,2020-04,13
553,Mariposa,2020-05,2
554,Mariposa,2020-06,14
555,Mariposa,2020-07,29
556,Mariposa,2020-08,14
557,Mariposa,2020-09,7
558,Mariposa,2020-10,4
559,Mariposa,2020-11,54
560,Mariposa,2020-12,137
561,Mariposa,2021-01,109
562,Mariposa,2021-02,28
563,Mariposa,2021-03,21
564,Mariposa,2021-04,29
565,Mariposa,2021-05,16
566,Mariposa,2021-06,8
567,Mariposa,2021-07,56
568,Mariposa,2021-08,315
569,Mariposa,2021-09,301
570,Mariposa,2021-10,322
571,Mariposa,2021-11,192
572,Mariposa,2021-12,165
573,Mariposa,2022-01,705
575,Mendocino,2020-02,0
576,Mendocino,2020-03,6
577,Mendocino,2020-04,8
578,Mendocino,2020-05,21
579,Mendocino,2020-06,62
580,Mendocino,2020-07,248
581,Mendocino,2020-08,370
582,Mendocino,2020-09,288
583,Mendocino,2020-10,184
584,Mendocino,2020-11,519
585,Mendocino,2020-12,970
586,Mendocino,2021-01,820
587,Mendocino,2021-02,373
588,Mendocino,2021-03,139
589,Mendocino,2021-04,93
590,Mendocino,2021-05,201
591,Mendocino,2021-06,239
592,Mendocino,2021-07,470
593,Mendocino,2021-08,1613
594,Mendocino,2021-09,1255
595,Mendocino,2021-10,588
596,Mendocino,2021-11,705
597,Mendocino,2021-12,712
598,Mendocino,2022-01,3586
600,Merced,2020-02,0
601,Merced,2020-03,24
602,Merced,2020-04,170
603,Merced,2020-05,204
604,Merced,2020-06,1183
605,Merced,2020-07,4465
606,Merced,2020-08,2377
607,Merced,2020-09,905
608,Merced,2020-10,719
609,Merced,2020-11,2735
610,Merced,2020-12,7809
611,Merced,2021-01,6998
612,Merced,2021-02,2627
613,Merced,2021-03,1768
614,Merced,2021-04,1002
615,Merced,2021-05,570
616,Merced,2021-06,281
617,Merced,2021-07,1193
618,Merced,2021-08,4716
619,Merced,2021-09,4664
620,Merced,2021-10,3152
621,Merced,2021-11,2085
622,Merced,2021-12,2745
623,Merced,2022-01,13700
625,Modoc,2020-02,0
626,Modoc,2020-03,0
627,Modoc,2020-04,0
628,Modoc,2020-05,0
629,Modoc,2020-06,0
630,Modoc,2020-07,1
631,Modoc,2020-08,6
632,Modoc,2020-09,10
633,Modoc,2020-10,9
634,Modoc,2020-11,44
635,Modoc,2020-12,49
636,Modoc,2021-01,21
637,Modoc,2021-02,16
638,Modoc,2021-03,7
639,Modoc,2021-04,3
640,Modoc,2021-05,10
641,Modoc,2021-06,14
642,Modoc,2021-07,3
643,Modoc,2021-08,10
644,Modoc,2021-09,26
645,Modoc,2021-10,36
646,Modoc,2021-11,27
647,Modoc,2021-12,14
648,Modoc,2022-01,57
650,Mono,2020-02,0
651,Mono,2020-03,34
652,Mono,2020-04,9
653,Mono,2020-05,9
654,Mono,2020-06,2
655,Mono,2020-07,90
656,Mono,2020-08,12
657,Mono,2020-09,9
658,Mono,2020-10,90
659,Mono,2020-11,327
660,Mono,2020-12,417
661,Mono,2021-01,278
662,Mono,2021-02,56
663,Mono,2021-03,59
664,Mono,2021-04,15
665,Mono,2021-05,18
666,Mono,2021-06,12
667,Mono,2021-07,35
668,Mono,2021-08,183
669,Mono,2021-09,195
670,Mono,2021-10,190
671,Mono,2021-11,224
672,Mono,2021-12,337
673,Mono,2022-01,801
675,Monterey,2020-02,0
676,Monterey,2020-03,58
677,Monterey,2020-04,185
678,Monterey,2020-05,340
679,Monterey,2020-06,1652
680,Monterey,2020-07,3668
681,Monterey,2020-08,3258
682,Monterey,2020-09,2242
683,Monterey,2020-10,1857
684,Monterey,2020-11,5197
685,Monterey,2020-12,14821
686,Monterey,2021-01,11123
687,Monterey,2021-02,2594
688,Monterey,2021-03,713
689,Monterey,2021-04,406
690,Monterey,2021-05,263
691,Monterey,2021-06,160
692,Monterey,2021-07,741
693,Monterey,2021-08,2045
694,Monterey,2021-09,1539
695,Monterey,2021-10,869
696,Monterey,2021-11,1031
697,Monterey,2021-12,2605
698,Monterey,2022-01,15859
700,Napa,2020-02,0
701,Napa,2020-03,15
702,Napa,2020-04,56
703,Napa,2020-05,57
704,Napa,2020-06,355
705,Napa,2020-07,706
706,Napa,2020-08,376
707,Napa,2020-09,296
708,Napa,2020-10,389
709,Napa,2020-11,1388
710,Napa,2020-12,2927
711,Napa,2021-01,2523
712,Napa,2021-02,690
713,Napa,2021-03,390
714,Napa,2021-04,354
715,Napa,2021-05,141
716,Napa,2021-06,126
717,Napa,2021-07,520
718,Napa,2021-08,1270
719,Napa,2021-09,915
720,Napa,2021-10,493
721,Napa,2021-11,349
722,Napa,2021-12,2463
723,Napa,2022-01,7947
725,Nevada,2020-02,0
726,Nevada,2020-03,11
727,Nevada,2020-04,6
728,Nevada,2020-05,7
729,Nevada,2020-06,86
730,Nevada,2020-07,192
731,Nevada,2020-08,133
732,Nevada,2020-09,88
733,Nevada,2020-10,116
734,Nevada,2020-11,773
735,Nevada,2020-12,1230
736,Nevada,2021-01,821
737,Nevada,2021-02,430
738,Nevada,2021-03,386
739,Nevada,2021-04,376
740,Nevada,2021-05,203
741,Nevada,2021-06,175
742,Nevada,2021-07,836
743,Nevada,2021-08,2299
744,Nevada,2021-09,1096
745,Nevada,2021-10,705
746,Nevada,2021-11,770
747,Nevada,2021-12,939
748,Nevada,2022-01,4223
750,Orange,2020-02,58
751,Orange,2020-03,997
752,Orange,2020-04,2668
753,Orange,2020-05,5484
754,Orange,2020-06,17038
755,Orange,2020-07,23652
756,Orange,2020-08,9683
757,Orange,2020-09,6629
758,Orange,2020-10,7888
759,Orange,2020-11,26855
760,Orange,2020-12,102098
761,Orange,2021-01,78234
762,Orange,2021-02,17387
763,Orange,2021-03,5705
764,Orange,2021-04,3834
765,Orange,2021-05,1804
766,Orange,2021-06,1795
767,Orange,2021-07,13445
768,Orange,2021-08,24255
769,Orange,2021-09,12992
770,Orange,2021-10,9618
771,Orange,2021-11,10045
772,Orange,2021-12,64590
773,Orange,2022-01,181070
775,Out of state,2020-02,10
776,Out of state,2020-03,237
777,Out of state,2020-04,198
778,Out of state,2020-05,408
779,Out of state,2020-06,373
780,Out of state,2020-07,672
781,Out of state,2020-08,355
782,Out of state,2020-09,367
783,Out of state,2020-10,596
784,Out of state,2020-11,1936
785,Out of state,2020-12,3779
786,Out of state,2021-01,3147
787,Out of state,2021-02,1509
788,Out of state,2021-03,781
789,Out of state,2021-04,1229
790,Out of state,2021-05,743
791,Out of state,2021-06,508
792,Out of state,2021-07,2619
793,Out of state,2021-08,6904
794,Out of state,2021-09,3412
795,Out of state,2021-10,1279
796,Out of state,2021-11,1312
797,Out of state,2021-12,7647
798,Out of state,2022-01,22989
800,Placer,2020-02,2
801,Placer,2020-03,103
802,Placer,2020-04,85
803,Placer,2020-05,120
804,Placer,2020-06,708
805,Placer,2020-07,1437
806,Placer,2020-08,955
807,Placer,2020-09,612
808,Placer,2020-10,919
809,Placer,2020-11,3404
810,Placer,2020-12,7297
811,Placer,2021-01,4297
812,Placer,2021-02,1343
813,Placer,2021-03,1151
814,Placer,2021-04,1257
815,Placer,2021-05,699
816,Placer,2021-06,667
817,Placer,2021-07,2277
818,Placer,2021-08,6749
819,Placer,2021-09,3736
820,Placer,2021-10,2462
821,Placer,2021-11,1925
822,Placer,2021-12,4215
823,Placer,2022-01,15411
825,Plumas,2020-02,0
826,Plumas,2020-03,0
827,Plumas,2020-04,4
828,Plumas,2020-05,0
829,Plumas,2020-06,8
830,Plumas,2020-07,18
831,Plumas,2020-08,10
832,Plumas,2020-09,5
833,Plumas,2020-10,38
834,Plumas,2020-11,140
835,Plumas,2020-12,218
836,Plumas,2021-01,137
837,Plumas,2021-02,22
838,Plumas,2021-03,32
839,Plumas,2021-04,12
840,Plumas,2021-05,26
841,Plumas,2021-06,13
842,Plumas,2021-07,37
843,Plumas,2021-08,328
844,Plumas,2021-09,287
845,Plumas,2021-10,410
846,Plumas,2021-11,168
847,Plumas,2021-12,88
848,Plumas,2022-01,503
850,Riverside,2020-02,3
851,Riverside,2020-03,906
852,Riverside,2020-04,4177
853,Riverside,2020-05,5303
854,Riverside,2020-06,16164
855,Riverside,2020-07,22867
856,Riverside,2020-08,10749
857,Riverside,2020-09,7430
858,Riverside,2020-10,10562
859,Riverside,2020-11,32484
860,Riverside,2020-12,112919
861,Riverside,2021-01,92781
862,Riverside,2021-02,18143
863,Riverside,2021-03,5418
864,Riverside,2021-04,3779
865,Riverside,2021-05,2230
866,Riverside,2021-06,2120
867,Riverside,2021-07,12974
868,Riverside,2021-08,33074
869,Riverside,2021-09,22165
870,Riverside,2021-10,15091
871,Riverside,2021-11,16484
872,Riverside,2021-12,54702
873,Riverside,2022-01,173417
875,Sacramento,2020-02,0
876,Sacramento,2020-03,460
877,Sacramento,2020-04,818
878,Sacramento,2020-05,470
879,Sacramento,2020-06,3102
880,Sacramento,2020-07,9232
881,Sacramento,2020-08,6736
882,Sacramento,2020-09,4897
883,Sacramento,2020-10,4005
884,Sacramento,2020-11,14471
885,Sacramento,2020-12,31114
886,Sacramento,2021-01,22823
887,Sacramento,2021-02,7928
888,Sacramento,2021-03,5421
889,Sacramento,2021-04,5139
890,Sacramento,2021-05,3440
891,Sacramento,2021-06,2758
892,Sacramento,2021-07,11047
893,Sacramento,2021-08,26521
894,Sacramento,2021-09,13922
895,Sacramento,2021-10,9421
896,Sacramento,2021-11,7005
897,Sacramento,2021-12,19487
898,Sacramento,2022-01,80906
900,San Benito,2020-02,0
901,San Benito,2020-03,34
902,San Benito,2020-04,26
903,San Benito,2020-05,52
904,San Benito,2020-06,234
905,San Benito,2020-07,482
906,San Benito,2020-08,518
907,San Benito,2020-09,246
908,San Benito,2020-10,124
909,San Benito,2020-11,564
910,San Benito,2020-12,2039
911,San Benito,2021-01,1796
912,San Benito,2021-02,406
913,San Benito,2021-03,163
914,San Benito,2021-04,179
915,San Benito,2021-05,63
916,San Benito,2021-06,88
917,San Benito,2021-07,223
918,San Benito,2021-08,604
919,San Benito,2021-09,468
920,San Benito,2021-10,438
921,San Benito,2021-11,375
922,San Benito,2021-12,1235
923,San Benito,2022-01,3683
925,San Bernardino,2020-02,7
926,San Bernardino,2020-03,577
927,San Bernardino,2020-04,2414
928,San Bernardino,2020-05,4364
929,San Bernardino,2020-06,14628
930,San Bernardino,2020-07,25141
931,San Bernardino,2020-08,12618
932,San Bernardino,2020-09,7825
933,San Bernardino,2020-10,12603
934,San Bernardino,2020-11,42550
935,San Bernardino,2020-12,122689
936,San Bernardino,2021-01,75541
937,San Bernardino,2021-02,13523
938,San Bernardino,2021-03,4627
939,San Bernardino,2021-04,3489
940,San Bernardino,2021-05,2071
941,San Bernardino,2021-06,1949
942,San Bernardino,2021-07,11372
943,San Bernardino,2021-08,29342
944,San Bernardino,2021-09,17859
945,San Bernardino,2021-10,13048
946,San Bernardino,2021-11,15901
947,San Bernardino,2021-12,51256
948,San Bernardino,2022-01,157761
950,San Diego,2020-02,0
951,San Diego,2020-03,1325
952,San Diego,2020-04,2794
953,San Diego,2020-05,4703
954,San Diego,2020-06,6359
955,San Diego,2020-07,11997
956,San Diego,2020-08,6007
957,San Diego,2020-09,6480
958,San Diego,2020-10,8314
959,San Diego,2020-11,29778
960,San Diego,2020-12,91763
961,San Diego,2021-01,81686
962,San Diego,2021-02,27014
963,San Diego,2021-03,9718
964,San Diego,2021-04,9263
965,San Diego,2021-05,5853
966,San Diego,2021-06,4296
967,San Diego,2021-07,28452
968,San Diego,2021-08,64836
969,San Diego,2021-09,34140
970,San Diego,2021-10,17089
971,San Diego,2021-11,17659
972,San Diego,2021-12,85065
973,San Diego,2022-01,248476
975,San Francisco,2020-02,0
976,San Francisco,2020-03,683
977,San Francisco,2020-04,1124
978,San Francisco,2020-05,1302
979,San Francisco,2020-06,1948
980,San Francisco,2020-07,5167
981,San Francisco,2020-08,3984
982,San Francisco,2020-09,2391
983,San Francisco,2020-10,1519
984,San Francisco,2020-11,4270
985,San Francisco,2020-12,9688
986,San Francisco,2021-01,8470
987,San Francisco,2021-02,3034
988,San Francisco,2021-03,1423
989,San Francisco,2021-04,1213
990,San Francisco,2021-05,681
991,San Francisco,2021-06,581
992,San Francisco,2021-07,5899
993,San Francisco,2021-08,7979
994,San Francisco,2021-09,3763
995,San Francisco,2021-10,2277
996,San Francisco,2021-11,2406
997,San Francisco,2021-12,19782
998,San Francisco,2022-01,50339
1000,San Joaquin,2020-02,0
1001,San Joaquin,2020-03,210
1002,San Joaquin,2020-04,476
1003,San Joaquin,2020-05,557
1004,San Joaquin,2020-06,5137
1005,San Joaquin,2020-07,11455
1006,San Joaquin,2020-08,4749
