,County,Date,fire
2046,San Bernardino,2019-07,1
2048,San Bernardino,2019-08,1
2050,San Bernardino,2019-09,1
2052,San Bernardino,2019-10,1
2056,San Bernardino,2019-11,1
2060,San Diego,2013-05,1
2066,San Diego,2013-07,1
2070,San Diego,2013-09,1
2074,San Diego,2013-10,1
2076,San Diego,2014-03,1
2078,San Diego,2014-05,1
2098,San Diego,2014-07,1
2100,San Diego,2014-08,1
2102,San Diego,2015-06,1
2106,San Diego,2015-07,1
2112,San Diego,2015-08,1
2116,San Diego,2016-05,1
2117,San Diego,2016-06,1
2120,San Diego,2016-07,1
2126,San Diego,2016-08,1
2128,San Diego,2016-11,1
2130,San Diego,2017-05,1
2134,San Diego,2017-06,1
2139,San Diego,2017-07,1
2141,San Diego,2017-08,1
2143,San Diego,2017-09,1
2145,San Diego,2017-10,1
2149,San Diego,2017-12,1
2150,San Diego,2018-01,1
2169,San Diego,2018-04,1
2170,San Diego,2018-05,1
2174,San Diego,2018-06,1
2178,San Diego,2018-07,1
2184,San Diego,2018-08,1
2187,San Diego,2019-01,1
2204,San Diego,2019-05,1
2206,San Diego,2019-06,1
2212,San Diego,2019-07,1
2217,San Diego,2019-08,1
2223,San Diego,2019-09,1
2226,San Diego,2019-10,1
2238,San Joaquin,2013-05,1
2240,San Joaquin,2015-06,1
2242,San Joaquin,2016-08,1
2244,San Joaquin,2018-06,1
2246,San Joaquin,2019-01,1
2248,San Joaquin,2019-07,1
2251,San Joaquin,2019-09,1
2254,San Luis Obispo,2013-05,1
2258,San Luis Obispo,2013-06,1
2260,San Luis Obispo,2013-07,1
2262,San Luis Obispo,2013-09,1
2264,San Luis Obispo,2013-11,1
2266,San Luis Obispo,2014-07,1
2268,San Luis Obispo,2015-06,1
2270,San Luis Obispo,2015-07,1
2272,San Luis Obispo,2015-08,1
2274,San Luis Obispo,2016-05,1
2278,San Luis Obispo,2016-06,1
2282,San Luis Obispo,2016-08,1
2283,San Luis Obispo,2016-09,1
2284,San Luis Obispo,2017-05,1
2290,San Luis Obispo,2017-06,1
2292,San Luis Obispo,2017-07,1
2298,San Luis Obispo,2017-08,1
2301,San Luis Obispo,2017-09,1
2306,San Luis Obispo,2017-10,1
2309,San Luis Obispo,2018-01,1
2334,San Luis Obispo,2018-05,1
2336,San Luis Obispo,2018-06,1
2342,San Luis Obispo,2018-07,1
2345,San Luis Obispo,2018-09,1
2347,San Luis Obispo,2018-10,1
2348,San Luis Obispo,2019-01,1
2362,San Luis Obispo,2019-05,1
2363,San Luis Obispo,2019-06,1
2370,San Luis Obispo,2019-07,1
2373,San Luis Obispo,2019-09,1
2375,San Luis Obispo,2019-10,1
2382,San Mateo,2013-09,1
2384,San Mateo,2017-09,1
2385,San Mateo,2018-01,1
2386,San Mateo,2019-10,1
2388,Santa Barbara,1969-12,1
2389,Santa Barbara,2013-05,1
2393,Santa Barbara,2014-05,1
2395,Santa Barbara,2015-06,1
2397,Santa Barbara,2015-08,1
2398,Santa Barbara,2015-10,1
2399,Santa Barbara,2015-11,1
2400,Santa Barbara,2016-06,1
2401,Santa Barbara,2016-07,1
2402,Santa Barbara,2016-08,1
2403,Santa Barbara,2016-09,1
2408,Santa Barbara,2017-05,1
2409,Santa Barbara,2017-07,1
2411,Santa Barbara,2017-09,1
2412,Santa Barbara,2017-12,1
2415,Santa Barbara,2018-01,1
2422,Santa Barbara,2018-03,1
2423,Santa Barbara,2018-05,1
2424,Santa Barbara,2018-07,1
2427,Santa Barbara,2018-08,1
2428,Santa Barbara,2018-09,1
2429,Santa Barbara,2019-01,1
2437,Santa Barbara,2019-03,1
2438,Santa Barbara,2019-07,1
2439,Santa Barbara,2019-08,1
2440,Santa Barbara,2019-09,1
2442,Santa Barbara,2019-10,1
2444,Santa Barbara,2019-11,1
2445,Santa Barbara,2019-12,1
2446,Santa Clara,2013-07,1
2448,Santa Clara,2013-12,1
2450,Santa Clara,2014-06,1
2451,Santa Clara,2014-07,1
2452,Santa Clara,2014-08,1
2454,Santa Clara,2015-06,1
2455,Santa Clara,2015-07,1
2456,Santa Clara,2015-09,1
2458,Santa Clara,2016-07,1
2460,Santa Clara,2016-08,1
2464,Santa Clara,2016-09,1
2467,Santa Clara,2017-06,1
2469,Santa Clara,2017-07,1
2473,Santa Clara,2017-08,1
2474,Santa Clara,2017-09,1
2476,Santa Clara,2018-01,1
2484,Santa Clara,2018-05,1
