ArchiveYear,County,Extinguished,Started
2015,Trinity,2015-08-24T10:00:00Z,2015-07-30T21:30:00Z
2015,San Bernardino,2015-08-01T22:15:00Z,2015-06-17T15:52:00Z
2015,Del Norte,2015-08-04T09:00:00Z,2015-07-31T21:00:00Z
2015,Trinity,2015-08-03T14:00:00Z,2015-07-30T16:00:00Z
2015,Lake,2015-08-25T06:45:00Z,2015-08-09T15:34:00Z
2015,Napa,2015-08-25T06:45:00Z,2015-08-09T15:34:00Z
2015,Lassen,2015-08-04T10:37:00Z,2015-08-03T14:15:00Z
2015,Del Norte,2015-11-09T12:00:00Z,2015-08-01T23:23:00Z
2015,Inyo,2015-02-12T07:35:00Z,2015-02-06T14:07:00Z
2015,Mono,2015-02-12T07:35:00Z,2015-02-06T14:07:00Z
2015,Tulare,2015-09-05T18:00:00Z,2015-07-19T08:00:00Z
2015,Madera,2015-08-13T10:30:00Z,2015-07-25T14:30:00Z
2015,Humboldt,2015-08-19T19:15:00Z,2015-07-30T16:02:00Z
2015,Modoc,2015-07-31T20:00:00Z,2015-07-30T17:45:00Z
2015,San Bernardino,2015-07-21T07:00:00Z,2015-07-17T14:33:00Z
2015,Mono,2015-08-23T17:45:00Z,2015-08-14T21:31:00Z
2015,Alameda,2015-08-22T18:30:00Z,2015-08-19T14:45:00Z
2015,San Luis Obispo,2015-08-28T18:15:00Z,2015-08-16T18:13:00Z
2015,Nevada,2015-08-12T19:15:00Z,2015-07-25T14:37:00Z
2015,San Diego,2015-08-18T19:00:00Z,2015-08-13T13:03:00Z
2015,San Luis Obispo,2015-06-24T18:30:00Z,2015-06-20T14:41:00Z
2015,Trinity,2015-06-29T09:00:00Z,2015-06-10T15:00:00Z
2015,Merced,2015-08-01T19:00:00Z,2015-07-31T21:37:00Z
2015,Merced,2015-07-21T07:15:00Z,2015-07-18T22:27:00Z
2015,Monterey,2015-09-27T18:15:00Z,2015-09-19T15:00:00Z
2015,Riverside,2015-04-24T07:30:00Z,2015-04-18T18:12:00Z
2015,Butte,2015-09-17T19:30:00Z,2015-09-11T14:15:00Z
2015,Madera,2015-06-25T18:45:00Z,2015-06-18T21:00:00Z
2015,Butte,2015-10-04T18:40:00Z,2015-10-03T21:15:00Z
2015,Lake,2015-09-08T19:28:00Z,2015-09-02T14:57:00Z
2015,San Benito,2015-10-16T18:00:00Z,2015-10-12T16:00:00Z
2015,Riverside,2015-08-15T17:30:00Z,2015-08-10T11:44:00Z
2015,Mono,2015-02-20T19:00:00Z,2015-02-06T16:52:00Z
2015,Madera,2015-06-19T08:15:00Z,2015-06-18T14:31:00Z
2015,Tulare,2015-07-26T10:30:00Z,2015-07-21T12:35:00Z
2015,Mariposa,2015-09-11T11:00:00Z,2015-09-07T21:23:00Z
2015,Los Angeles,2015-06-26T17:00:00Z,2015-06-24T13:22:00Z
